trip,diff,descrip
Canoe and Bird at Northeast Creek,About 2 miles of canoeing.,"The Northeast Creek estuary dates back to the melting Wisconsian Glacier 13,000 years ago and is the largest freshwater outflow off the Mount Desert Range flowing north. Known locally as ""Fresh Meadow"" or ""King's Creek"", this tidal bog ecosystem has raised portions and tidal creeks which can be explored at your leisure while paddling these quiet waters. This trip will allow you an opportunity to become familiar with a variety of calls such as Common Yellow-throat and Black-throated Green Warblers, and Alder and Least Flycatchers. There is extensive edge habitat throughout the three mile paddle with diverse wetlands offering possible opportunities to observe the difficult-to-find American Bittern, Spotted Sandpipers, and Swamp, Savannah, and Song Sparrows. Northern Harrier sometimes nest in the upper reaches and can be occasionally seen gliding over the sedge marsh meadow seeking tidal mammals. Freshwater and tidal waterfowl utilize the variety of salinities found in this watershed, including Red-breasted Merganser, American Black Duck, and Mallard. Great Blue Heron, Greater and Lesser Yellowlegs, and Belted Kingfisher all search for feasts of fish and small invertebrates in the creek. Bald Eagle have nested at the mouth of this great estuary which provides a year round source of prey. Life vests, paddles and canoes are provided. Bring water, sunscreen, and snacks. Meet on Rt. 3 at bridge over Northeast Creek (GPS coordinates: 44.424796, -68.326904)."
Seal Cove along Cape Rd,2.5 miles of easy walking.,"This walk begins along the ocean's edge where we have opportunities to encounter lingering seaducks, plus eagles, loons and kingfishers. We will also monitor mixed habitat on the inland side as we walk along the shore. A little farther up Cape Road we turn inland and encounter shrubby habitat where we can hope to find warblers, flycatchers, sparrows, thrushes and others. One of the best parts of this walk is not only the abundance of species, but the ease of viewing many birds that stay low and close. The road is not heavily travelled, so we can expect to exercise our auditory acuity and help each other to re-learn our favorite bird songs. Meet at Seal Cove Picnic Area, 675 Cape Rd, Seal Cove (GPS coordinates: 44.283225, -68.409025)."
Sears Island,2-3 miles of easy terrain.,"Sears Island is connected to the mainland by a short, very birdable, causeway. The island is best known for its bird diversity and abundance during spring migration. It is also outstanding for the close-up observations of many of the bird species encountered. In short order, birds reveal themselves as a variety of habitats unfold - rocky shoreline, tidal flats, forest edges, old homestead clearings, towering oak and spruce trees, flowering and fruiting trees, vernal pools and wetlands. A wide, paved, abandoned roadway bisects the island and makes for an easy stroll for excellent bird observation and photography. The island's bird checklist is well over 200 species and over 85% of them have been documented during the months of May and June. Expect to see Osprey, Bald Eagle, Broad-winged Hawk, Common Raven, and Double-crested Cormorant overhead. At eye level, you could see upwards of a dozen or more warbler species, several vireos, flycatchers, thrushes, kinglets, and waxwings. Rose-breasted Grosbeak and Scarlet Tanager sing from mid-level to upper canopy. On the water, loons, mergansers, and a variety of ducks will be easily scoped. Meet on Sears Island causeway at the gate (GPS coordinates: 44.457214, -68.882321)."
Petit Manan NWR,2 miles of moderate to difficult trail with many roots and rocks.,"Dense spruce-fir boreal micro-habitats of Maine's downeast coast provide unusual access to species generally found much farther north. We will search for the elusive Spruce Grouse, and listen for multiple warbler species. Look out for Red Crossbill, Yellow-bellied Flycatcher, Golden-crowned Kinglet, and maybe Philadelphia Vireo (just to name a few) along the Hollingsworth Trail. Before the trail starts looping back to the parking area, we will come out to the ocean and scan for shorebirds, ducks, scoters, Black Guillemot, etc. Please note there are no bathroom facilities at the trailhead. Meet at Hollingsworth Trail parking in Petit Manan Natl Wildlife Refuge (GPS coordinates: 44.433534, -67.897342)."
Sieur de Monts Spring,"1.75 miles, flat, easy walk.","The ""spring"" situated here was used to prevent perishable food from spoiling by indigenous peoples. The on-site Abbe Museum celebrates indigenous culture and history in Maine while the extensive grounds provide excellent birding opportunities for festival goers. The two primary trails, Jessup Path and Hemlock Rd, are configured into a figure eight, double loop which affords the option for a shorter walk for those so inclined. The diversity of the trail system presents a wonderful mix of forested wetland, upland marsh, mixed growth and conifer forests hosting a wide variety of bird species. The Jessup trail begins as a boardwalk offering a quiet, almost ethereal experience through a forested wetland with a lush carpet of moss and fern. Red-eyed Vireo, Eastern Wood-Pewee, Great-crested Flycatcher, and migrating warbler are found foraging here. Blackpoll, Magnolia, and Nashville Warblers appear along with the regulars, often enough to keep sharp eyes on the lookout. Juvenile begging has revealed active woodpecker nests along the boardwalk. Hairy, Downy and Pileated Woodpeckers are regulars, with Yellow-bellied Sapsucker and Northern Flicker making frequent appearances. Meet at Sieur de Monts Spring parking (GPS coordinates: 44.362882, -68.207555)."
Essex Woods in Bangor,"2 miles walking, easy to moderate.","Essex Woods, located in Bangor near I-95, offers 70 acres of a variety of habitats, from forests of spruce and pine, to crabapple, maple, and birch, to wetlands. We will look for Sora and Virginia Rail, egrets and herons, American Bittern, and several species of waterfowl in the wetlands. There are numerous songbirds such as Indigo Bunting, Warbling Vireo, House Wren, Eastern Kingbird, Tree Swallow, Swamp Sparrow, woodpeckers, thrushes, and flycatchers as well. 23 different warblers have been reported in Essex Woods. Meet at Essex Woods (GPS coordinates: 44.824752, -68.767429)."
Beech Mountain,2 miles easy to moderate hiking.,"Stroll out to Beech Cliff with spectacular views over Echo Lake. Watch for the nesting Peregine Falcon soaring near the cliffs. This two mile loop continues along the cliff then turns back toward Beech Mountain where Blue-headed Vireo, Winter Wren, and Yellow-bellied Flycatcher can be heard singing. Ruffed Grouse also frequent these woods. In addition to the common warblers, Black-throated Blue Warbler are often seen in the area. Meet at the Beech Mountain parking lot at the end of Beech Hill Rd. (GPS coordinates: 44.315474, -68.343640)."
Valley Cove and Flying Mountain,"1.5 miles of easy to difficult, hilly terrain. 150 ft elevation climb.","Experience one of MDI's diverse emerging old growth forests for Neotropical migrants. Tall red spruce, white pine and cedar are breeding habitat for Blackburnian and Magnolia Warblers, Northern Parula, Blue-headed Vireo, Winter Wren, Swainson's Thrush, Pileated and Hairy Woodpeckers, and Pine Siskin. During irruption years, White-winged Crossbill can frequent the area! The trail takes you to Valley Cove where you can gaze at the cliffs of St. Sauveur Mountain and search for Peregrine Falcon nesting on the cliffs. From the cove, there is an option to take a more strenuous hike over Flying Mountain and enjoy fabulous views of Somes Sound and beyond. Meet at the parking lot at 96 Fernald Point Rd, Southwest Harbor (GPS coordinates: 44.299588, -68.316342)."
Wonderland,"2 miles, easy walk.","The Wonderland Trail is located on Seawall Road between Ship Harbor and Seawall Campground, offering a similar variety of habits and birdlife as the Seawall Road Hotspots Trip. The trail traverses through a forest of red and white spruce, emerging onto a lovely short loop trail at ocean's edge. The forest is a migrant trap in the spring, and is home to Spruce Grouse, Hermit Thrush, Pileated Woodpecker, and a variety of warblers. Observe Common Eider, Black Guillemot, scoters, Common Loon, possible shorebirds, and Bald Eagle along the shore. Meet at the Wonderland Trail parking lot, Southwest Harbor (GPS coordinates: 44.233693, -68.320144)."
Swans Island,"2-3 miles of easy to moderate walking, with some rooty/rocky terrain.","Swans Island is located off the southwest coast of Mount Desert Island. Accessed by a 6-mile ferry trip from Bass Harbor, the 7,000-acre island offers a diverse mix of birding habitat, from spruce-fir maritime forest, open fields and many miles of rocky shoreline. The year-round population is about 350 people, with over 1000 people in the summertime. Your guides will lead you through 4 or 5 permanently conserved locations owned either by the town of Swans Island or Maine Coast Heritage Trust. One town-owned 20-acre park is the site of the Swans Island lighthouse overlooking the entrance into Burnt Coat Harbor and we can tour the lighthouse and keeper's house. All locations provide opportunity to see and hear forest and field birds: Merlin, Cooper's Hawk, Broad-wing Hawk, Bald Eagle, Hermit and Swainson's Thrushes, Pileated, Downy, Hairy Woodpecker, Yellow-bellied Sapsucker, Bobolink, Golden-crowned Kinglet, Alder Flycatcher, and a variety of warblers (including American Redstart, Northern Parula, Common Yellowthroat, and Yellow, Nashville, Black-and-white, Yellow-rumped and Black-throated Green Warblers) as well as scoping for ocean birds such as Common Eider, Common and Artic Terns, American Black Duck, Black Guillemot, Common Loon and Northern Gannet. Bring your own snacks, LUNCH, and water. VAN TRIP - Meet at the Post Office in Bass Harbor (GPS coordinates: 44.237385, -68.344526)."
Monhegan Island,2-3 miles of easy to moderate walking.,"This pre-festival trip starts a the Monhegan Boat Line dock in Port Clyde where we board the boat to Monhegan Island. Twelve miles offshore, scenic Monhegan Island has long been recognized as a migrant trap where anything might turn up, even species that you won't see anywhere else in Maine! (Summer Tanager, Lark Sparrow, Blue Grosbeak, and Dickcissel are all ""regulars."") While much of the island is forested conservation land laced with trails, the best birding is often in the tiny village, where old apple trees and spruce stands serve as the backdrop for warblers (20+ species usually) and a wide diversity of other songbirds as they pass through. Atlantic Puffin and other seabirds are possibilities on the boat trip out and back! This outing is all on foot (2-3 miles) over easy to moderate trails and dirt roads (some uneven). Participants should bring binoculars, snacks, lunch, beverages, bug repellent, sunscreen, and good hiking/walking shoes. Dress in layers as it could be cold (especially on the ferry!). There will be some opportunities to stop for food and refreshments at a few places on the island. The group will not have any place to stash extra items, so be sure to bring a backpack or the equivalent to carry extra clothing or food. Participants are responsible for purchasing their own round-trip Monhegan Boat Line ferry tickets ($42) out of Port Clyde for a 7:00am departure and 4:30pm return from Monhegan. To purchase tickets, call (207) 372-8848 or visit the Monhegan Boat Line website at https://monheganboat.com. If you live far away, we recommend that you spend the night near Port Clyde (2+ hours from festival center) so you can easily meet the group at 6:30am at the Monhegan Boat Line dock. Meet at the Monhegan Boat Line dock in Port Clyde (GPS coordinates: 43.926091, -69.258949)."
Otter Point,"	2 miles of moderate, hilly terrain with some rocks/roots.","This unique peninsula acts as a migrant trap for birds traveling from Neotropical regions. Mourning, Blackburnian, Cape May, Black-throated Green, Yellow-rumped, and Northern Parula Warblers, and Yellow-bellied Sapsucker, Hairy and Downy Woodpeckers, Blue-headed Vireo, Common Raven, Black-capped Chickadee, Brown Creeper, Red-breasted Nuthatch, Golden-crowned and Ruby-crowned Kinglets, Purple Finch, and Pine Siskin are all found here. Otter Point, jutting 12 miles out to sea from the mainland, offers diverse coastal and deepwater habitats which attract a variety of seabirds including Common Eider, Black Guillemot, Laughing Gull, Ring-billed Gull, Great Black-backed Gull, Black-legged Kittiwake, Red-necked and Horned Grebe, Double-crested and Great Cormorants, Northern Gannet, Red-breasted Merganser, and all three scoters. A special treat is the chance to view nesting Black Guillemot on the high vertical cliffs. Meet at Fabbri Picnic area parking lot (GPS coordinates: 44.314411, -68.195083)."
Peregrine Falcon Viewing,Standing and looking for the nesting falcons.,"Join Angi King Johnston to look for and learn about the famous Peregrine Falcons that nest here every year. There will be a spotting scope and continuous interpretation to teach you about Peregrine Falcons and other raptors on MDI. Sitting atop the food chain, raptors are known for their power, speed, and special adaptations. Meet at the Precipice trail Parking lot (GPS coordinates: 44.349601, -68.187982)."
